,model,RMSE,MAPE,DA,R2
0,7_8,455.0525817871094,2.2222445011138916,39.29121725731895,0.06076091527938843
1,7_16,397.6111755371094,1.904117465019226,40.06163328197226,0.28291577100753784
2,7_32,268.990966796875,1.32537043094635,40.67796610169492,0.6718078255653381
3,7_64,108.31169891357422,0.536469578742981,40.52388289676425,0.9467887282371521
4,14_8,309.7862243652344,1.434224247932434,40.1854714064915,0.5656751394271851
5,14_16,389.38128662109375,1.864643931388855,39.41267387944359,0.3138156533241272
6,14_32,275.4614562988281,1.2781519889831543,38.94899536321484,0.656590461730957
7,14_64,115.68505096435547,0.5683885216712952,40.80370942812983,0.9394317269325256
8,30_8,639.2332153320312,3.6515579223632812,41.30434782608695,-0.8436534404754639
9,30_16,424.1158752441406,2.061404228210449,39.90683229813665,0.18842267990112305
10,30_32,171.7149658203125,0.8358837962150574,41.14906832298137,0.8669615983963013
11,30_64,114.53417205810547,0.5816032290458679,40.838509316770185,0.9408124089241028
